CityName,Date,No_of_complain_received,No_of_complain_disposed,No_of_complain_pending
Surat,30/10/2024,251,816,11140
Surat,07/11/2024,191,915,9827
Surat,12/11/2024,209,645,9837
Surat,19/11/2024,207,741,9510
Surat,26/11/2024,251,721,9143
Surat,01/12/2024,93,189,8309
Surat,04/12/2024,237,612,8248
Surat,22/12/2024,140,226,8525
Surat,24/12/2024,316,782,8881
Surat,27/12/2024,226,715,8911
Surat,01/01/2025,224,843,8617
Surat,18/01/2025,228,829,8698
Surat,20/01/2025,350,862,9076
Surat,23/01/2025,269,717,9372
Surat,31/01/2025,227,791,9457
Surat,03/02/2025,160,816,9084
Surat,05/02/2025,140,494,8892
Surat,06/02/2025,219,694,8912
Surat,08/02/2025,182,491,8829
Surat,10/02/2025,170,753,8744
Surat,11/02/2025,174,659,8588
Surat,13/02/2025,203,693,8535
Surat,19/02/2025,213,675,8976
Surat,22/02/2025,200,545,8917
Surat,01/03/2025,189,709,8868
Surat,09/03/2025,131,283,9010
Surat,11/03/2025,226,793,9066
Surat,14/03/2025,126,249,8665
Surat,23/03/2025,130,300,8663
Surat,08/04/2025,207,709,9040
Surat,16/04/2025,195,669,8890
Surat,20/04/2025,148,222,8755
Surat,24/04/2025,192,702,8901
Surat,27/04/2025,108,249,8375
Surat,02/05/2025,163,657,8270
Surat,07/05/2025,254,739,8193
Surat,17/05/2025,143,636,7505
Surat,19/05/2025,250,652,7730
Surat,20/05/2025,203,665,7656
Surat,24/05/2025,221,576,7717
Surat,25/05/2025,105,285,7472
Surat,26/05/2025,189,928,7629
Surat,29/05/2025,239,620,7560
Surat,30/05/2025,271,806,7653
Surat,01/06/2025,166,287,7560
Surat,08/06/2025,126,231,7403
Surat,13/06/2025,209,636,7435
Surat,17/06/2025,432,1003,8041
Surat,20/07/2025,89,402,6295
Surat,21/07/2025,213,1060,6503
Surat,01/08/2025,199,758,6089
Surat,12/08/2025,233,895,6550
Surat,23/08/2025,220,713,7062
Surat,30/08/2025,178,1010,6635
Surat,03/09/2025,282,1346,7045
Surat,11/09/2025,1115,1074,10073
Surat,27/06/2017,0,842,1146
Surat,15/07/2017,1,537,1149
Surat,16/07/2017,0,132,1149
Surat,19/07/2017,0,545,1149
Surat,24/07/2017,0,643,1150
Surat,25/07/2017,0,729,1150
Surat,30/07/2017,0,204,1158
Surat,05/08/2017,0,679,1166
Surat,11/08/2017,0,647,1169
Surat,21/08/2017,4,567,1184
Surat,28/08/2017,10,725,1209
Surat,08/09/2017,44,476,1348
Surat,15/09/2017,58,567,1539
Surat,18/09/2017,61,704,1610
Surat,19/09/2017,60,917,1576
Surat,27/09/2017,76,598,1663
Surat,29/09/2017,72,567,1711
Surat,03/10/2017,100,767,1714
Surat,04/10/2017,90,695,1623
Surat,13/10/2017,64,526,1697
Surat,14/10/2017,72,289,1749
Surat,20/10/2017,14,38,1621
Surat,21/10/2017,22,134,1617
Surat,22/10/2017,21,112,1623
Surat,26/10/2017,35,445,1564
Surat,04/11/2017,32,213,1478
Surat,11/11/2017,24,205,1470
Surat,13/11/2017,40,510,1455
Surat,15/11/2017,15,510,1395
Surat,17/11/2017,19,378,1368
Surat,19/11/2017,9,120,1378
Surat,21/11/2017,36,478,1369
Surat,23/12/2017,42,246,1465
Surat,25/12/2017,29,170,1468
Surat,30/12/2017,38,392,1428
Surat,06/01/2018,64,365,1408
Surat,09/01/2018,45,548,1473
Surat,18/01/2018,30,331,1387
Surat,27/01/2018,29,202,1466
Surat,28/01/2018,13,175,1454
Surat,02/02/2018,73,412,1563
Surat,03/02/2018,46,399,1571
Surat,12/02/2018,63,716,1535
Surat,25/02/2018,16,99,1394
Surat,27/02/2018,57,549,1414
Surat,28/02/2018,31,465,1379
Surat,10/03/2018,22,367,1334
Surat,14/03/2018,26,550,1341
Surat,15/03/2018,25,294,1329
Surat,17/03/2018,23,413,1308
Surat,23/03/2018,30,346,1313
Surat,25/03/2018,15,102,1321
Surat,03/04/2018,53,644,1480
Surat,06/04/2018,30,343,1389
Surat,13/04/2018,52,350,1514
Surat,19/04/2018,19,394,1316
Surat,25/04/2018,36,451,1395
Surat,26/04/2018,39,508,1345
Surat,27/04/2018,41,325,1374
Surat,28/04/2018,22,226,1378
Surat,05/05/2018,31,268,1439
Surat,07/05/2018,30,454,1465
Surat,16/05/2018,23,609,1334
Surat,19/05/2018,39,335,1413
Surat,27/05/2018,23,118,1529
Surat,28/05/2018,36,603,1530
Surat,02/06/2018,24,422,1450
Surat,11/06/2018,54,883,1526
Surat,12/06/2018,42,1078,1493
Surat,24/06/2018,38,182,1477
Surat,26/06/2018,41,944,1481
Surat,27/06/2018,54,927,1514
Surat,30/06/2018,36,734,1601
Surat,03/07/2018,38,897,1549
Surat,05/07/2018,37,837,1506
Surat,10/07/2018,53,1059,1541
Surat,15/07/2018,22,256,1517
Surat,20/07/2018,37,645,1497
Surat,21/07/2018,36,837,1518
Surat,01/08/2018,36,1011,1504
Surat,08/08/2018,87,592,1715
Surat,09/08/2018,101,494,1729
Surat,14/08/2018,47,632,1620
Surat,15/08/2018,29,189,1604
Surat,16/08/2018,43,602,1624
Surat,20/08/2018,64,705,1639
Surat,23/08/2018,44,453,1555
Surat,24/08/2018,58,478,1582
Surat,03/09/2018,29,245,1640
Surat,08/09/2018,33,433,1587
Surat,13/09/2018,21,248,1449
Surat,24/09/2018,52,410,1564
Surat,26/09/2018,67,662,1607
Surat,29/09/2018,50,408,1623
Surat,08/10/2018,84,626,1567
Surat,09/10/2018,81,679,1564
Surat,12/10/2018,52,577,1508
Surat,13/10/2018,33,424,1505
Surat,15/10/2018,45,596,1519
Surat,18/10/2018,21,173,1455
Surat,19/10/2018,77,435,1506
Surat,23/10/2018,41,666,1482
Surat,26/10/2018,18,511,1387
Surat,01/11/2018,162,696,1587
Surat,04/11/2018,66,190,1782
Surat,08/11/2018,8,41,1464
Surat,10/11/2018,11,252,1418
Surat,21/11/2018,27,299,1431
Surat,02/12/2018,24,137,1462
Surat,05/12/2018,32,529,1426
Surat,13/12/2018,116,288,1594
Surat,19/12/2018,41,437,1595
Surat,21/12/2018,50,371,1645
Surat,24/12/2018,63,485,1671
Surat,01/01/2019,48,508,1637
Surat,10/01/2019,124,363,1761
Surat,11/01/2019,93,388,1802
Surat,12/01/2019,86,379,1829
Surat,16/01/2019,81,488,1658
Surat,18/01/2019,58,376,1656
Surat,19/01/2019,61,427,1671
Surat,30/01/2019,29,464,1460
Surat,05/02/2019,46,356,1512
Surat,06/02/2019,82,403,1503
Surat,07/02/2019,43,311,1497
Surat,26/02/2019,45,378,1642
Surat,04/03/2019,23,185,1487
Surat,14/03/2019,38,305,1380
Surat,25/03/2019,33,536,1289
Surat,27/03/2019,8,453,1192
Surat,01/04/2019,30,401,1268
Surat,10/04/2019,51,432,1302
Surat,19/04/2019,30,147,1350
Surat,21/04/2019,27,104,1379
Surat,22/04/2019,44,238,1363
Surat,27/04/2019,21,294,1261
Surat,04/05/2019,12,405,1270
Surat,06/05/2019,36,430,1298
Surat,07/05/2019,14,291,1277
Surat,10/05/2019,19,280,1251
Surat,12/05/2019,13,104,1253
Surat,13/05/2019,25,483,1269
Surat,16/05/2019,39,285,1351
Surat,23/05/2019,33,310,1359
Surat,27/05/2019,138,437,1549
Surat,02/06/2019,40,181,1546
Surat,05/06/2019,25,316,1420
Surat,08/06/2019,38,381,1447
Surat,16/06/2019,39,129,1477
Surat,26/06/2019,70,850,1409
Surat,28/06/2019,24,715,1431
Surat,12/07/2019,40,520,1307
Surat,15/07/2019,56,708,1337
Surat,18/07/2019,22,482,1299
Surat,20/07/2019,37,552,1357
Surat,21/07/2019,22,215,1378
Surat,25/07/2019,36,370,1317
Surat,31/07/2019,19,537,1274
Surat,12/08/2019,24,561,1364
Surat,13/08/2019,37,860,1355
Surat,19/08/2019,44,823,1311
Surat,22/08/2019,27,522,1260
Surat,23/08/2019,16,671,1266
Surat,24/08/2019,12,355,1270
Surat,26/08/2019,47,679,1317
Surat,06/09/2019,54,696,1462
Surat,08/09/2019,32,193,1498
Surat,16/09/2019,57,847,1393
Surat,17/09/2019,59,782,1404
Surat,20/09/2019,71,618,1418
Surat,21/09/2019,61,649,1444
Surat,24/09/2019,72,716,1475
Surat,27/09/2019,75,477,1529
Surat,05/10/2019,49,555,1458
Surat,09/10/2019,54,748,1443
Surat,10/10/2019,66,497,1441
Surat,14/10/2019,80,710,1515
Surat,15/10/2019,58,659,1487
Surat,29/10/2019,27,309,1597
Surat,03/11/2019,31,149,1503
Surat,17/11/2019,18,130,1436
Surat,19/11/2019,43,558,1415
Surat,21/11/2019,36,338,1392
Surat,26/11/2019,102,468,1509
Surat,30/11/2019,42,383,1460
Surat,02/12/2019,73,431,1509
Surat,04/12/2019,72,516,1597
Surat,09/12/2019,91,504,1715
Surat,11/12/2019,85,464,1741
Surat,13/12/2019,57,358,1754
Surat,29/12/2019,26,102,1575
Surat,31/12/2019,35,416,1557
